Rank,Name,Revenue ($M),Revenue % change,Profit ($M),Profit % change,Assets ($M),Market Value ($M),Change in rank (1000),Employees,Change in rank (500),Year,Female CEO,Founder CEO
37,Valero Energy,"$70,166",-14.2%,"$2,289",-42.6%,"$46,173","$29,746",-5,"9,996",-5,2017,0,0
38,Target,"$69,495",-5.8%,"$2,737",-18.6%,"$37,431","$30,502",-,"323,000",-,2017,0,0
39,Freddie Mac,"$65,665",3.4%,"$7,815",22.6%,"$2,023,376","$1,612",4,"5,982",4,2017,0,0
40,Lowe's,"$65,017",10.1%,"$3,093",21.5%,"$34,408","$70,481",7,"240,000",7,2017,0,0
41,Dell Technologies,"$64,806",18.1%,"$-1,672",-,"$118,206",-,-,"138,000",-,2017,0,0
42,MetLife,"$63,476",-9.3%,$800,-84.9%,"$898,764","$57,429",-2,"58,000",-2,2017,0,0
43,Aetna,"$63,155",4.7%,"$2,271",-5%,"$69,146","$44,859",3,"49,500",3,2017,0,0
44,PepsiCo,"$62,799",-0.4%,"$6,329",16.1%,"$74,129","$159,763",-,"264,000",-,2017,0,0
45,Archer Daniels Midland,"$62,346",-7.9%,"$1,279",-30.8%,"$39,769","$26,274",-4,"31,800",-4,2017,0,0
46,UPS,"$60,906",4.4%,"$3,431",-29.2%,"$40,377","$93,276",2,"335,520",2,2017,0,0
47,Intel,"$59,387",7.3%,"$10,316",-9.7%,"$113,327","$170,539",4,"106,000",4,2017,0,0
48,Prudential Financial,"$58,779",2.9%,"$4,368",-22.6%,"$783,962","$45,912",2,"49,739",2,2017,0,0
49,Albertsons Cos.,"$58,734",115.9%,$-502.2,-,"$23,770",-,-,"274,000",-,2017,0,0
50,United Technologies,"$57,244",-6.2%,"$5,055",-33.6%,"$89,706","$89,957",-5,"201,600",-5,2017,0,0
51,Marathon Petroleum,"$55,858",-13.5%,"$1,174",-58.8%,"$44,413","$26,679",-9,"44,460",-9,2017,0,0
52,Disney,"$55,632",6%,"$9,391",12%,"$92,033","$179,298",1,"195,000",1,2017,0,0
53,Humana,"$54,379",0.2%,$614,-51.9%,"$25,396","$29,743",-1,"51,600",-1,2017,0,0
54,Pfizer,"$52,824",8.1%,"$7,215",3.7%,"$171,615","$203,725",1,"96,500",1,2017,0,0
55,AIG,"$52,367",-10.2%,$-849,-138.7%,"$498,264","$61,154",-6,"56,400",-6,2017,0,0
56,Lockheed Martin,"$50,658",9.8%,"$5,302",47.1%,"$47,806","$77,557",4,"97,000",4,2017,0,0
57,Sysco,"$50,367",3.5%,$949.6,38.3%,"$16,722","$28,048",-,"51,900",-,2017,0,0
58,FedEx,"$50,365",6.1%,"$1,820",73.3%,"$46,064","$52,178",-,"335,767",-,2017,0,0
59,Hewlett Packard Enterprise,"$50,123",-,"$3,161",-,"$79,679","$39,288",-,"195,000",-,2017,0,0
60,Cisco Systems,"$49,247",0.2%,"$10,739",19.6%,"$121,652","$169,266",-6,"73,700",-6,2017,0,0
61,HP,"$48,238",-53.3%,"$2,496",-45.2%,"$29,010","$30,231",-41,"49,000",-41,2017,0,0
62,Dow Chemical,"$48,158",-1.3%,"$4,318",-43.8%,"$79,511","$77,460",-6,"56,000",-6,2017,0,0
63,HCA Holdings,"$44,747",2.7%,"$2,890",35.7%,"$33,758","$32,966",-,"210,500",-,2017,0,0
64,Coca-Cola,"$41,863",-5.5%,"$6,527",-11.2%,"$87,270","$182,153",-2,"100,300",-2,2017,0,0
65,New York Life Insurance,"$40,787",-11.1%,"$1,088.1",324.1%,"$287,196",-,-4,"11,320",-4,2017,0,0
66,Centene,"$40,721",78.6%,$562,58.3%,"$20,197","$12,271",58,"30,500",58,2017,0,0
67,American Airlines Group,"$40,180",-2%,"$2,676",-64.8%,"$51,274","$21,326",-,"122,300",-,2017,0,0
68,Nationwide,"$40,074",-0.4%,$334.3,-42.4%,"$197,790",-,1,"34,320",1,2017,0,0
69,Merck,"$39,807",0.8%,"$3,920",-11.8%,"$95,377","$174,454",3,"68,000",3,2017,0,0
70,Cigna,"$39,668",4.7%,"$1,867",-10.8%,"$59,360","$37,604",9,"41,000",9,2017,0,0
71,Delta Air Lines,"$39,639",-2.6%,"$4,373",-3.4%,"$51,261","$33,586",-3,"83,756",-3,2017,0,0
72,Best Buy,"$39,403",-0.9%,"$1,228",36.9%,"$13,856","$15,193",-1,"125,000",-1,2017,0,0
73,Honeywell International,"$39,302",1.9%,"$4,809",0.9%,"$54,146","$94,991",2,"131,000",2,2017,0,0
74,Caterpillar,"$38,537",-18%,$-67,-103.2%,"$74,704","$54,402",-15,"95,400",-15,2017,0,0
75,Liberty Mutual Insurance Group,"$38,308",-2.9%,"$1,006",95.7%,"$125,592",-,-2,"50,000",-2,2017,0,0
76,Morgan Stanley,"$37,949",0.1%,"$5,979",-2.4%,"$814,949","$79,947",2,"55,311",2,2017,0,0
77,Massachusetts Mutual Life Insurance,"$37,788",-1.2%,"$1,273.5",-10.6%,"$271,040",-,-1,"11,737",-1,2017,0,0
78,Goldman Sachs Group,"$37,712",-3.8%,"$7,398",21.6%,"$860,165","$91,380",-4,"34,400",-4,2017,0,0
79,Energy Transfer Equity,"$37,504",-11%,$995,-16.3%,"$79,011","$21,292",-14,"30,992",-14,2017,0,0
80,TIAA,"$37,105",5.5%,"$1,492.3",22.9%,"$523,194",-,2,"12,997",2,2017,0,0
81,Oracle,"$37,047",-3.1%,"$8,901",-10.4%,"$112,180","$183,556",-4,"136,000",-4,2017,0,0
82,Tyson Foods,"$36,881",-10.9%,"$1,768",44.9%,"$22,373","$22,028",-16,"114,000",-16,2017,0,0
83,United Continental Holdings,"$36,556",-3.5%,"$2,263",-69.2%,"$40,140","$22,225",-3,"88,000",-3,2017,0,0
84,Allstate,"$36,534",2.5%,"$1,877",-13.5%,"$108,610","$29,754",-3,"43,275",-3,2017,0,0
85,Publix Super Markets,"$34,274",5.1%,"$2,025.7",3.1%,"$17,464",-,2,"191,000",2,2017,0,0
86,American Express,"$33,823",-1.8%,"$5,408",4.7%,"$158,893","$71,193",-1,"56,400",-1,2017,0,0
87,TJX,"$33,184",7.2%,"$2,298.2",0.9%,"$12,884","$51,053",2,"235,000",2,2017,0,0
88,Nike,"$32,376",5.8%,"$3,760",14.9%,"$21,396","$92,204",3,"70,700",3,2017,0,0
89,Exelon,"$31,360",6.5%,"$1,134",-50%,"$114,904","$33,309",6,"34,396",6,2017,0,0
90,General Dynamics,"$31,353",-0.4%,"$2,955",-0.3%,"$32,872","$56,791",-2,"98,800",-2,2017,0,0
91,Rite Aid,"$30,737",15.9%,$165.5,-92.2%,"$11,277","$4,473",16,"70,580",16,2017,0,0
92,Gilead Sciences,"$30,390",-6.9%,"$13,501",-25.4%,"$56,977","$88,788",-6,"9,000",-6,2017,0,0
93,CHS,"$30,347",-12.2%,$424.2,-45.7%,"$17,318",-,-9,"12,157",-9,2017,0,0
94,3M,"$30,109",-0.5%,"$5,050",4.5%,"$32,906","$114,338",-1,"91,584",-1,2017,0,0
95,Time Warner,"$29,318",4.3%,"$3,926",2.4%,"$65,966","$75,660",4,"25,000",4,2017,0,0
96,Charter Communications,"$29,003",197.3%,"$3,522",-,"$149,067","$100,595",196,"91,500",196,2017,0,0
97,Northwestern Mutual,"$28,799",2.4%,$818,0.4%,"$250,441",-,3,"5,646",3,2017,0,0
98,Facebook,"$27,638",54.2%,"$10,217",177%,"$64,961","$410,522",59,"17,048",59,2017,0,0
99,Travelers Cos.,"$27,625",3.1%,"$3,014",-12.4%,"$100,245","$33,689",6,"30,900",6,2017,0,0
100,Capital One Financial,"$27,519",9.6%,"$3,751",-7.4%,"$357,033","$41,831",12,"47,300",12,2017,0,0
101,Twenty-First Century Fox,"$27,326",-5.7%,"$2,755",-66.8%,"$48,365","$59,949",-5,"21,500",-5,2017,0,0
102,USAA,"$27,131",11.4%,"$1,779.1",-21.7%,"$147,290",-,12,"29,943",12,2017,0,0
103,World Fuel Services,"$27,016",-11.1%,$126.5,-27.5%,"$5,413","$2,535",-11,"5,000",-11,2017,0,0
104,Philip Morris International,"$26,685",-0.4%,"$6,967",1.4%,"$36,851","$175,349",2,"79,500",2,2017,0,0
105,Deere,"$26,644",-7.7%,"$1,523.9",-21.4%,"$57,981","$34,648",-8,"56,767",-8,2017,0,0
106,Kraft Heinz,"$26,487",44.4%,"$3,632",472.9%,"$120,480","$110,528",47,"41,000",47,2017,0,0
107,Tech Data,"$26,235",-0.5%,$195.1,-26.6%,"$7,932","$3,569",1,"9,500",1,2017,0,0
108,Avnet,"$26,219",-6.1%,$506.5,-11.4%,"$11,240","$5,898",-6,"17,700",-6,2017,0,0
109,Mondelez International,"$25,923",-12.5%,"$1,659",-77.2%,"$61,538","$65,676",-15,"90,000",-15,2017,0,0
110,Macy's,"$25,778",-4.8%,$619,-42.3%,"$19,851","$9,046",-7,"148,300",-7,2017,0,0
111,AbbVie,"$25,638",12.2%,"$5,953",15.7%,"$66,099","$103,838",12,"30,000",12,2017,0,0
112,McDonald's,"$24,622",-3.1%,"$4,686.5",3.5%,"$31,024","$106,150",-3,"375,000",-3,2017,0,0
113,DuPont,"$24,594",-12%,"$2,513",28.7%,"$39,964","$69,451",-12,"46,000",-12,2017,0,0
114,Northrop Grumman,"$24,508",4.2%,"$2,200",10.6%,"$25,614","$41,577",4,"67,000",4,2017,0,0
115,ConocoPhillips,"$24,360",-21.3%,"$-3,615",-,"$89,772","$61,692",-25,"13,300",-25,2017,0,0
116,Raytheon,"$24,069",3.5%,"$2,211",6.6%,"$30,052","$44,664",4,"63,000",4,2017,0,0
117,Andeavor,"$24,005",-14.7%,$734,-52.3%,"$20,398","$9,515",-19,"6,308",-19,2017,0,0
118,Arrow Electronics,"$23,825",2.3%,$522.8,5%,"$14,206","$6,546",1,"18,700",1,2017,0,0
119,Qualcomm,"$23,554",-6.8%,"$5,705",8.2%,"$52,359","$84,694",-9,"30,500",-9,2017,0,0
120,Progressive,"$23,441",12.4%,"$1,031",-18.7%,"$33,428","$22,760",17,"31,721",17,2017,0,0
121,Duke Energy,"$23,369",-1%,"$2,152",-23.6%,"$132,761","$57,397",-6,"28,798",-6,2017,0,0
122,Enterprise Products Partners,"$23,022",-14.8%,"$2,513.1",-0.3%,"$52,194","$58,522",-18,"6,800",-18,2017,0,0
123,Amgen,"$22,991",6.1%,"$7,722",11.3%,"$77,626","$120,830",7,"19,200",7,2017,0,0
124,US Foods Holding,"$22,919",-0.9%,$209.8,25.2%,"$8,945","$6,207",-2,"25,000",-2,2017,0,0
125,U.S. Bancorp,"$22,744",5.8%,"$5,888",0.2%,"$445,964","$87,201",6,"71,191",6,2017,0,0
126,Aflac,"$22,559",8.1%,"$2,659",5%,"$129,819","$29,053",9,"10,212",9,2017,0,0
127,Sears Holdings,"$22,138",-12%,"$-2,221",-,"$9,362","$1,231",-16,"140,000",-16,2017,0,0
128,Dollar General,"$21,987",7.9%,"$1,251.1",7.4%,"$11,672","$19,182",11,"121,000",11,2017,0,0
129,AutoNation,"$21,609",3.6%,$430.5,-2.7%,"$10,060","$4,268",7,"26,000",7,2017,0,0
130,Community Health Systems,"$21,374",-5.8%,"$-1,721",-,"$21,944","$1,010",-5,"108,000",-5,2017,0,0
131,Starbucks,"$21,316",11.2%,"$2,817.7",2.2%,"$14,330","$85,092",15,"254,000",15,2017,0,0
132,Eli Lilly,"$21,222",6.3%,"$2,737.6",13.7%,"$38,806","$92,803",9,"41,975",9,2017,0,0
133,International Paper,"$21,079",-5.8%,$904,-3.6%,"$33,345","$20,884",-6,"55,000",-6,2017,0,0
134,Tenet Healthcare,"$21,070",4.8%,$-192,-,"$24,701","$1,777",6,"116,475",6,2017,0,0
135,Abbott Laboratories,"$20,853",0.9%,"$1,400",-68.3%,"$52,666","$76,740",3,"75,000",3,2017,0,0
136,Dollar Tree,"$20,719",33.7%,$896.2,217.4%,"$15,702","$18,540",44,"116,050",44,2017,0,0
137,Whirlpool,"$20,718",-0.8%,$888,13.4%,"$19,153","$12,762",-3,"93,000",-3,2017,0,0
138,Southwest Airlines,"$20,425",3.1%,"$2,244",2.9%,"$23,286","$33,076",4,"53,536",4,2017,0,0
139,Emerson Electric,"$20,268",-9.1%,"$1,635",-39.7%,"$21,743","$38,614",-11,"103,500",-11,2017,0,0
140,Staples,"$20,217",-4%,"$-1,497",-494.8%,"$8,271","$5,723",-8,"61,503",-8,2017,0,0
141,Plains GP Holdings,"$20,182",-12.8%,$94,-20.3%,"$26,103","$9,127",-20,"5,100",-20,2017,0,0
142,Penske Automotive Group,"$20,143",4%,$342.9,5.2%,"$8,861","$4,001",1,"24,000",1,2017,0,0
143,Union Pacific,"$19,941",-8.6%,"$4,233",-11.3%,"$55,718","$85,911",-14,"42,919",-14,2017,0,0
144,Danaher,"$19,912",-4.8%,"$2,553.7",-23.9%,"$45,295","$59,359",-11,"62,000",-11,2017,0,0
145,Southern,"$19,896",13.8%,"$2,448",3.4%,"$109,697","$49,335",17,"32,015",17,2017,0,0
146,ManpowerGroup,"$19,654",1.7%,$443.7,5.8%,"$7,574","$6,938",-2,"28,000",-2,2017,0,0
147,Bristol-Myers Squibb,"$19,427",17.3%,"$4,457",184.8%,"$33,707","$89,591",21,"25,000",21,2017,0,0
148,Altria Group,"$19,337",2.6%,"$14,239",171.7%,"$45,932","$138,513",1,"8,300",1,2017,0,0
149,Fluor,"$19,037",5.1%,$281.4,-31.8%,"$9,216","$7,353",6,"61,551",6,2017,0,0
150,Kohl's,"$18,686",-2.7%,$556,-17.4%,"$13,574","$6,862",-5,"85,000",-5,2017,0,0
151,Lear,"$18,558",1.9%,$975.1,30.8%,"$9,901","$9,726",3,"148,400",3,2017,0,0
152,Jabil,"$18,353",2.5%,$254.1,-10.5%,"$10,323","$5,270",6,"138,000",6,2017,0,0
153,Hartford Financial Services Group,"$18,300",-0.4%,$896,-46.7%,"$223,432","$17,795",-1,"16,900",-1,2017,0,0
154,Thermo Fisher Scientific,"$18,274",7.7%,"$2,021.8",2.3%,"$45,908","$59,964",10,"54,800",10,2017,0,0
155,Kimberly-Clark,"$18,202",-2.1%,"$2,166",113.8%,"$14,602","$46,828",-4,"42,000",-4,2017,0,0
156,Molina Healthcare,"$17,782",25.4%,$52,-63.6%,"$7,449","$2,601",45,"21,000",45,2017,0,0
157,PG&E Corp.,"$17,666",4.9%,"$1,393",59.4%,"$68,598","$33,696",9,"24,000",9,2017,0,0
158,Supervalu,"$17,529",-1.6%,$178,-7.3%,"$4,370","$1,033",2,"38,000",2,2017,0,0
159,Cummins,"$17,509",-8.4%,"$1,394",-0.4%,"$15,011","$25,397",-11,"55,400",-11,2017,0,0
160,CenturyLink,"$17,470",-2.4%,$626,-28.7%,"$47,017","$12,883",-1,"40,000",-1,2017,0,0
161,AECOM,"$17,411",-3.2%,$96.1,-,"$13,727","$5,528",-5,"87,000",-5,2017,0,0
162,Xerox,"$17,126",-8.2%,$-477,-200.6%,"$18,145","$7,462",-12,"133,600",-12,2017,0,0
163,Marriott International,"$17,072",17.9%,$780,-9.2%,"$24,140","$36,124",32,"226,500",32,2017,0,0
164,Paccar,"$17,033",-10.9%,$521.7,-67.5%,"$20,639","$23,604",-17,"23,000",-17,2017,0,0
165,General Mills,"$16,563",-6.1%,"$1,697.4",39%,"$21,712","$33,998",-4,"39,000",-4,2017,0,0
166,PNC Financial Services Group,"$16,423",0.9%,"$3,903",-4.9%,"$366,380","$58,455",5,"50,683",5,2017,0,0
167,American Electric Power,"$16,380",-3.1%,$610.9,-70.2%,"$63,468","$33,009",-2,"17,634",-2,2017,0,0
168,Icahn Enterprises,"$16,348",7%,"$-1,128",-,"$33,335","$7,989",16,"90,980",16,2017,0,0
169,Nucor,"$16,208",-1.4%,$796.3,122.6%,"$15,224","$19,051",1,"23,900",1,2017,0,0
170,NextEra Energy,"$16,155",-7.6%,"$2,912",5.8%,"$89,993","$60,099",-7,"14,700",-7,2017,0,0
171,Performance Food Group,"$16,105",5.5%,$68.3,20.9%,"$3,455","$2,464",14,"13,000",14,2017,0,0
172,PBF Energy,"$15,920",21.3%,$170.8,16.7%,"$7,622","$2,431",45,"3,165",45,2017,0,0
173,Halliburton,"$15,887",-32.8%,"$-5,763",-,"$27,000","$42,662",-56,"50,000",-56,2017,0,0
174,CarMax,"$15,833",6.4%,$623.4,4.4%,"$14,482","$11,081",17,"22,429",17,2017,0,0
175,Freeport-McMoRan,"$15,789",-0.6%,"$-4,154",-,"$37,317","$19,310",-,"30,000",-,2017,0,0
176,Whole Foods Market,"$15,724",2.2%,$507,-5.4%,"$6,341","$9,468",5,"73,515",5,2017,0,0
177,Bank of New York Mellon,"$15,683",1%,"$3,547",12.3%,"$333,469","$48,913",2,"52,000",2,2017,0,0
178,Gap,"$15,516",-1.8%,$676,-26.5%,"$7,610","$9,712",-1,"135,000",-1,2017,0,0
179,Omnicom Group,"$15,417",1.9%,"$1,148.6",5%,"$23,165","$20,219",7,"78,500",7,2017,0,0
180,Genuine Parts,"$15,340",0.4%,$687.2,-2.6%,"$8,859","$13,712",3,"40,000",3,2017,0,0
181,DaVita,"$15,197",6.9%,$879.9,226.2%,"$18,741","$13,227",19,"70,300",19,2017,0,0
182,Colgate-Palmolive,"$15,195",-5.2%,"$2,441",76.4%,"$12,123","$64,715",-8,"36,700",-8,2017,0,0
183,PPG Industries,"$15,178",-1%,$877,-37.6%,"$15,769","$26,970",-1,"47,000",-1,2017,0,0
184,Goodyear Tire & Rubber,"$15,158",-7.8%,"$1,264",311.7%,"$16,511","$9,070",-15,"66,000",-15,2017,0,0
185,Synchrony Financial,"$15,122",11%,"$2,251",1.7%,"$90,207","$27,810",-,"15,000",-,2017,0,0
186,DISH Network,"$15,095",0.2%,"$1,449.9",94.1%,"$28,092","$29,547",1,"16,000",1,2017,0,0
187,Visa,"$15,082",8.7%,"$5,991",-5.3%,"$64,035","$206,242",17,"14,200",17,2017,0,0
188,Nordstrom,"$14,757",2.2%,$354,-41%,"$7,858","$7,770",9,"72,500",9,2017,0,0
189,INTL FCStone,"$14,755",-57.5%,$54.7,-1.8%,"$5,951",$708,-106,"1,464",-106,2017,0,0
190,WestRock,"$14,706",29.2%,$-396.3,-178.2%,"$23,038","$13,029",61,"39,000",61,2017,0,0
191,XPO Logistics,"$14,619",91.8%,$69,-,"$11,698","$5,338",162,"87,000",162,2017,0,0
192,Aramark,"$14,416",0.6%,$287.8,22%,"$10,582","$9,081",7,"217,250",7,2017,0,0
193,CBS,"$14,386",3.6%,"$1,261",-10.8%,"$24,238","$28,405",10,"18,410",10,2017,0,0
194,AES,"$14,287",-4.5%,"$-1,130",-469.3%,"$36,119","$7,371",-4,"19,000",-4,2017,0,0
195,WellCare Health Plans,"$14,237",2.5%,$242.1,104.1%,"$6,153","$6,212",7,"7,400",7,2017,0,0
196,FirstEnergy,"$14,156",-3.1%,"$-6,177",-,"$43,148","$14,118",-8,"15,707",-8,2017,0,0
197,Conagra Brands,"$14,134",-10.8%,$-677,-,"$13,391","$17,557",-21,"20,900",-21,2017,0,0
198,Synnex,"$14,062",5.4%,$234.9,12.7%,"$5,223","$4,469",14,"110,000",14,2017,0,0
199,CDW,"$13,982",7.6%,$424.4,5.3%,"$6,948","$9,197",21,"8,516",21,2017,0,0
200,Textron,"$13,788",2.7%,$962,38%,"$15,358","$12,851",9,"36,000",9,2017,0,0
201,Waste Management,"$13,609",5%,"$1,182",57%,"$20,859","$32,216",20,"41,200",20,2017,0,0
202,Illinois Tool Works,"$13,599",1.4%,"$2,035",7.2%,"$15,201","$45,791",9,"50,000",9,2017,0,0
203,Office Depot,"$13,585",-6.2%,$529,-,"$5,540","$2,402",-7,"38,000",-7,2017,0,0
204,Monsanto,"$13,502",-10%,"$1,336",-42.3%,"$19,736","$49,644",-15,"22,450",-15,2017,0,0
205,Cognizant Technology Solutions,"$13,487",8.6%,"$1,553",-4.3%,"$14,262","$36,226",25,"260,200",25,2017,0,0
206,Texas Instruments,"$13,370",2.8%,"$3,595",20.4%,"$16,431","$80,531",13,"29,865",13,2017,0,0
207,Lincoln National,"$13,330",-1.8%,"$1,192",3.3%,"$261,627","$14,760",-2,"9,057",-2,2017,0,0
208,Newell Brands,"$13,264",122.1%,$527.8,50.8%,"$33,838","$22,787",226,"53,400",226,2017,0,0
209,Land O'Lakes,"$13,233",0.6%,$244.9,-20.4%,"$8,305",-,6,"10,000",6,2017,0,0
210,Marsh & McLennan,"$13,211",2.5%,"$1,768",10.6%,"$18,190","$38,078",12,"60,000",12,2017,0,0
211,Ecolab,"$13,153",-2.9%,"$1,229.6",22.7%,"$18,330","$36,356",-5,"47,565",-5,2017,0,0
212,C.H. Robinson Worldwide,"$13,144",-2.5%,$513.4,0.7%,"$3,688","$10,958",-4,"14,125",-4,2017,0,0
213,Loews,"$13,105",-2.3%,$654,151.5%,"$76,594","$15,747",-3,"15,800",-3,2017,0,0
214,CBRE Group,"$13,072",20.4%,$572,4.5%,"$10,780","$11,753",45,"75,000",45,2017,0,0
215,Kinder Morgan,"$13,058",-9.3%,$708,179.8%,"$80,305","$48,533",-17,"11,121",-17,2017,0,0
216,Kellogg,"$13,014",-3.8%,$694,13%,"$15,111","$25,417",-9,"37,369",-9,2017,0,0
217,Western Digital,"$12,994",-10.8%,$242,-83.5%,"$32,862","$23,775",-23,"72,878",-23,2017,0,0
218,Guardian Life Ins. Co. of America,"$12,919",2.3%,$263.9,-35.7%,"$70,339",-,8,"8,876",8,2017,0,0
219,Ross Stores,"$12,867",7.8%,"$1,117.7",9.5%,"$5,309","$25,814",18,"78,600",18,2017,0,0
220,L Brands,"$12,574",3.5%,"$1,158.1",-7.6%,"$8,170","$13,426",14,"59,100",14,2017,0,0
221,J.C. Penney,"$12,547",-0.6%,$1,-,"$9,314","$1,901",7,"106,000",7,2017,0,0
222,Farmers Insurance Exchange,"$12,513",-0.9%,$-147.9,-,"$16,057",-,5,"13,309",5,2017,0,0
223,Reynolds American,"$12,503",17.1%,"$6,073",86.7%,"$51,095","$89,862",43,"5,525",43,2017,0,0
224,Viacom,"$12,488",-5.9%,"$1,438",-25.2%,"$22,508","$18,503",-11,"9,650",-11,2017,0,0
225,Becton Dickinson,"$12,483",21.4%,$976,40.4%,"$25,586","$39,041",53,"50,928",53,2017,0,0
226,Micron Technology,"$12,399",-23.4%,$-276,-109.5%,"$27,540","$31,972",-53,"31,400",-53,2017,0,0
227,Principal Financial,"$12,394",3.6%,"$1,316.5",6.7%,"$228,014","$18,143",9,"14,854",9,2017,0,0
228,Arconic,"$12,394",-45%,$-941,-,"$20,038","$11,604",-102,"41,500",-102,2017,0,0
229,NRG Energy,"$12,351",-15.8%,$-774,-,"$30,355","$5,911",-36,"8,763",-36,2017,0,0
230,VF,"$12,207",-1.4%,"$1,074.1",-12.8%,"$9,739","$22,786",1,"69,000",1,2017,0,0
231,Devon Energy,"$12,197",-7.2%,"$-3,302",-,"$25,913","$21,886",-15,"3,545",-15,2017,0,0
232,D.R. Horton,"$12,157",12.3%,$886.3,18.1%,"$11,559","$12,438",28,"6,976",28,2017,0,0
233,Bed Bath & Beyond,"$12,104",1.9%,$841.5,-12.1%,"$6,499","$5,931",5,"62,000",5,2017,0,0
234,Consolidated Edison,"$12,075",-3.8%,"$1,245",4.4%,"$48,255","$23,708",-5,"14,960",-5,2017,0,0
