Rank,Name,Revenue ($M),Revenue % change,Profit ($M),Profit % change,Assets ($M),Market Value ($M),Change in rank (1000),Employees,Change in rank (500),Year,Revenue_cat,Filter_cat,Profit ($M)_cat,Assets ($M)_cat,Market Value ($M)_cat,Employees_cat,Revenue_cat_1,Revenue_cat_2,Revenue_cat_3,Filter_cat_0,Filter_cat_1,Filter_cat_2,Profit ($M)_cat_1,Profit ($M)_cat_2,Profit ($M)_cat_3,Profit ($M)_cat_4,Profit ($M)_cat_5,Assets ($M)_cat_1,Assets ($M)_cat_2,Assets ($M)_cat_3,Assets ($M)_cat_4,Assets ($M)_cat_5,Market Value ($M)_cat_1,Market Value ($M)_cat_2,Market Value ($M)_cat_3,Market Value ($M)_cat_4,Market Value ($M)_cat_5,Employees_cat_1,Employees_cat_2,Employees_cat_3,Employees_cat_4,Employees_cat_5
107,Tech Data,26235.0,-0.5,195.1,-26.6,7932.0,3569.0,1,9500,1,2017,3,0,3,4,3,3,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
108,Avnet,26219.0,-6.1,506.5,-11.4,11240.0,5898.0,-6,17700,-6,2017,3,0,4,4,3,4,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
116,Raytheon,24069.0,3.5,2211.0,6.6,30052.0,44664.0,4,63000,4,2017,3,0,5,5,5,5,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
117,Andeavor,24005.0,-14.7,734.0,-52.3,20398.0,9515.0,-19,6308,-19,2017,3,0,5,5,4,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
118,Arrow Electronics,23825.0,2.3,522.8,5.0,14206.0,6546.0,1,18700,1,2017,3,0,4,4,3,4,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
120,Progressive,23441.0,12.4,1031.0,-18.7,33428.0,22760.0,17,31721,17,2017,3,0,5,5,5,5,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
124,US Foods Holding,22919.0,-0.9,209.8,25.2,8945.0,6207.0,-2,25000,-2,2017,3,0,3,4,3,5,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
129,AutoNation,21609.0,3.6,430.5,-2.7,10060.0,4268.0,7,26000,7,2017,3,0,4,4,3,5,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
133,International Paper,21079.0,-5.8,904.0,-3.6,33345.0,20884.0,-6,55000,-6,2017,3,0,5,5,5,5,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
138,Southwest Airlines,20425.0,3.1,2244.0,2.9,23286.0,33076.0,4,53536,4,2017,3,0,5,5,5,5,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
141,Plains GP Holdings,20182.0,-12.8,94.0,-20.3,26103.0,9127.0,-20,5100,-20,2017,3,0,2,5,4,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
142,Penske Automotive Group,20143.0,4.0,342.9,5.2,8861.0,4001.0,1,24000,1,2017,3,0,4,4,3,5,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
146,ManpowerGroup,19654.0,1.7,443.7,5.8,7574.0,6938.0,-2,28000,-2,2017,3,0,4,4,3,5,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
149,Fluor,19037.0,5.1,281.4,-31.8,9216.0,7353.0,6,61551,6,2017,3,0,3,4,4,5,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
155,Kimberly-Clark,18202.0,-2.1,2166.0,113.8,14602.0,46828.0,-4,42000,-4,2017,3,0,5,5,5,5,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
156,Molina Healthcare,17782.0,25.4,52.0,-63.6,7449.0,2601.0,45,21000,45,2017,3,0,2,4,2,4,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
158,Supervalu,17529.0,-1.6,178.0,-7.3,4370.0,1033.0,2,38000,2,2017,3,0,3,3,1,5,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
159,Cummins,17509.0,-8.4,1394.0,-0.4,15011.0,25397.0,-11,55400,-11,2017,3,0,5,5,5,5,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
160,CenturyLink,17470.0,-2.4,626.0,-28.7,47017.0,12883.0,-1,40000,-1,2017,3,0,5,5,4,5,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
164,Paccar,17033.0,-10.9,521.7,-67.5,20639.0,23604.0,-17,23000,-17,2017,3,0,4,5,5,5,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
165,General Mills,16563.0,-6.1,1697.4,39.0,21712.0,33998.0,-4,39000,-4,2017,3,0,5,5,5,5,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
169,Nucor,16208.0,-1.4,796.3,122.6,15224.0,19051.0,1,23900,1,2017,3,0,5,5,5,5,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
171,Performance Food Group,16105.0,5.5,68.3,20.9,3455.0,2464.0,14,13000,14,2017,3,0,2,2,2,3,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
172,PBF Energy,15920.0,21.3,170.8,16.7,7622.0,2431.0,45,3165,45,2017,3,0,3,4,2,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
174,CarMax,15833.0,6.4,623.4,4.4,14482.0,11081.0,17,22429,17,2017,3,0,5,5,4,4,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
180,Genuine Parts,15340.0,0.4,687.2,-2.6,8859.0,13712.0,3,40000,3,2017,3,0,5,4,4,5,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
183,PPG Industries,15178.0,-1.0,877.0,-37.6,15769.0,26970.0,-1,47000,-1,2017,3,0,5,5,5,5,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
186,DISH Network,15095.0,0.2,1449.9,94.1,28092.0,29547.0,1,16000,1,2017,3,0,5,5,5,4,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
189,INTL FCStone,14755.0,-57.5,54.7,-1.8,5951.0,708.0,-106,1464,-106,2017,3,0,2,3,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
190,WestRock,14706.0,29.2,-396.3,-178.2,23038.0,13029.0,61,39000,61,2017,3,0,1,5,4,5,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
193,CBS,14386.0,3.6,1261.0,-10.8,24238.0,28405.0,10,18410,10,2017,3,0,5,5,5,4,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
194,AES,14287.0,-4.5,-1130.0,-469.3,36119.0,7371.0,-4,19000,-4,2017,3,0,1,5,4,4,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
195,WellCare Health Plans,14237.0,2.5,242.1,104.1,6153.0,6212.0,7,7400,7,2017,3,0,3,3,3,2,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
197,Conagra Brands,14134.0,-10.8,-677.0,0.0,13391.0,17557.0,-21,20900,-21,2017,3,0,1,4,5,4,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
199,CDW,13982.0,7.6,424.4,5.3,6948.0,9197.0,21,8516,21,2017,3,0,4,3,4,3,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
200,Textron,13788.0,2.7,962.0,38.0,15358.0,12851.0,9,36000,9,2017,3,0,5,5,4,5,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
201,Waste Management,13609.0,5.0,1182.0,57.0,20859.0,32216.0,20,41200,20,2017,3,0,5,5,5,5,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
202,Illinois Tool Works,13599.0,1.4,2035.0,7.2,15201.0,45791.0,9,50000,9,2017,3,0,5,5,5,5,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
203,Office Depot,13585.0,-6.2,529.0,0.0,5540.0,2402.0,-7,38000,-7,2017,3,0,4,3,2,5,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
208,Newell Brands,13264.0,122.1,527.8,50.8,33838.0,22787.0,226,53400,226,2017,3,0,4,5,5,5,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
210,Marsh & McLennan,13211.0,2.5,1768.0,10.6,18190.0,38078.0,12,60000,12,2017,3,0,5,5,5,5,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
211,Ecolab,13153.0,-2.9,1229.6,22.7,18330.0,36356.0,-5,47565,-5,2017,3,0,5,5,5,5,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
212,C.H. Robinson Worldwide,13144.0,-2.5,513.4,0.7,3688.0,10958.0,-4,14125,-4,2017,3,0,4,2,4,4,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
216,Kellogg,13014.0,-3.8,694.0,13.0,15111.0,25417.0,-9,37369,-9,2017,3,0,5,5,5,5,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
220,L Brands,12574.0,3.5,1158.1,-7.6,8170.0,13426.0,14,59100,14,2017,3,0,5,4,4,5,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
224,Viacom,12488.0,-5.9,1438.0,-25.2,22508.0,18503.0,-11,9650,-11,2017,3,0,5,5,5,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
225,Becton Dickinson,12483.0,21.4,976.0,40.4,25586.0,39041.0,53,50928,53,2017,3,0,5,5,5,5,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
226,Micron Technology,12399.0,-23.4,-276.0,-109.5,27540.0,31972.0,-53,31400,-53,2017,3,0,1,5,5,5,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
228,Arconic,12394.0,-45.0,-941.0,0.0,20038.0,11604.0,-102,41500,-102,2017,3,0,1,5,4,5,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
229,NRG Energy,12351.0,-15.8,-774.0,0.0,30355.0,5911.0,-36,8763,-36,2017,3,0,1,5,3,3,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
232,D.R. Horton,12157.0,12.3,886.3,18.1,11559.0,12438.0,28,6976,28,2017,3,0,5,4,4,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
233,Bed Bath & Beyond,12104.0,1.9,841.5,-12.1,6499.0,5931.0,5,62000,5,2017,3,0,5,3,3,5,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
234,Consolidated Edison,12075.0,-3.8,1245.0,4.4,48255.0,23708.0,-5,14960,-5,2017,3,0,5,5,5,4,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
235,Edison International,11869.0,3.0,1311.0,28.5,51319.0,25938.0,11,12390,11,2017,3,0,5,5,5,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
236,Sherwin-Williams,11856.0,4.6,1132.7,7.5,6753.0,28891.0,17,42550,17,2017,3,0,5,3,5,5,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
237,NGL Energy Partners,11742.0,-30.1,-198.9,-633.2,5560.0,2686.0,-70,3200,-70,2017,3,0,1,3,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
240,ADP,11668.0,1.7,1492.5,2.8,43670.0,45963.0,8,57000,8,2017,3,0,5,5,5,5,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
242,First Data,11584.0,1.2,420.0,0.0,40292.0,14224.0,7,24000,7,2017,3,0,4,5,5,5,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
243,Henry Schein,11572.0,8.9,506.8,5.8,6730.0,13461.0,25,21000,25,2017,3,0,4,3,4,4,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
246,Reinsurance Group of America,11522.0,10.6,701.4,39.7,53098.0,8169.0,25,2371,25,2017,3,0,5,5,4,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
247,Core-Mark Holding,11507.0,29.9,54.2,5.2,1497.0,1445.0,70,7688,70,2017,3,0,2,1,1,2,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
249,Las Vegas Sands,11410.0,-2.4,1670.0,-15.1,20469.0,45313.0,-8,49000,-8,2017,3,0,5,5,5,5,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
250,Stanley Black & Decker,11407.0,1.7,965.3,9.2,15635.0,20280.0,6,54023,6,2017,3,0,5,5,5,5,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
251,Parker-Hannifin,11361.0,-10.6,806.8,-20.3,12057.0,21370.0,-27,48950,-27,2017,3,0,5,4,5,5,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
253,Estee Lauder,11262.0,4.5,1114.6,2.4,9223.0,31068.0,8,46000,8,2017,3,0,5,4,5,5,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
256,Xcel Energy,11107.0,0.7,1123.4,14.1,41155.0,22546.0,1,11476,1,2017,3,0,5,5,5,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
257,CSX,11069.0,-6.3,1714.0,-12.9,35414.0,43126.0,-18,26628,-18,2017,3,0,5,5,5,5,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
259,Jacobs Engineering Group,10964.0,-9.5,210.5,-30.5,7360.0,6693.0,-24,49350,-24,2017,3,0,3,4,3,5,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
260,Lennar,10950.0,15.6,911.8,13.6,15362.0,12002.0,41,8335,41,2017,3,0,5,5,4,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
261,Group 1 Automotive,10888.0,2.4,147.1,56.5,4462.0,1584.0,6,13500,6,2017,3,0,2,3,1,4,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
262,Leucadia National,10875.0,-6.9,130.0,-54.2,45071.0,9355.0,-20,13000,-20,2017,3,0,2,5,4,3,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
263,Entergy,10846.0,-5.8,-583.6,0.0,45904.0,13685.0,-16,13513,-16,2017,3,0,1,5,4,4,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
265,Applied Materials,10825.0,12.1,1721.0,25.0,14588.0,42005.0,30,16150,30,2017,3,0,5,5,5,4,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
269,Liberty Interactive,10647.0,6.6,1235.0,42.1,20355.0,9101.0,15,21080,15,2017,3,0,5,5,4,4,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
272,DTE Energy,10630.0,2.8,868.0,19.4,32041.0,18317.0,2,10000,2,2017,3,0,5,5,5,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
273,L3 Technologies,10597.0,-8.3,710.0,0.0,11865.0,12859.0,-28,38000,-28,2017,3,0,5,4,4,5,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
274,HollyFrontier,10536.0,-20.4,-260.5,-135.2,9436.0,5048.0,-60,2676,-60,2017,3,0,1,4,3,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
275,Praxair,10534.0,-2.2,1500.0,-3.0,19332.0,33834.0,-13,26498,-13,2017,3,0,5,5,5,5,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
279,United States Steel,10261.0,-11.3,-440.0,0.0,9160.0,5893.0,-35,29800,-35,2017,3,0,1,4,3,5,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
280,Sempra Energy,10183.0,-0.5,1370.0,1.6,47786.0,27692.0,-1,16575,-1,2017,3,0,5,5,5,4,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
282,W.W. Grainger,10137.0,1.6,605.9,-21.2,5694.0,13668.0,3,25000,3,2017,3,0,4,3,4,5,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
284,Norfolk Southern,9888.0,-5.9,1668.0,7.2,34892.0,32515.0,-14,27856,-14,2017,2,0,5,5,5,5,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
287,Sonic Automotive,9732.0,1.1,93.2,8.0,3639.0,900.0,10,9800,10,2017,2,0,2,2,1,3,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
288,Owens & Minor,9723.0,-0.5,108.8,5.2,2718.0,2114.0,3,7900,3,2017,2,0,2,2,2,2,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
289,Huntsman,9657.0,-6.2,326.0,250.5,9189.0,5880.0,-12,15000,-12,2017,2,0,3,4,3,4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
290,Laboratory Corp. of America,9642.0,11.1,732.1,67.6,14247.0,14696.0,35,52000,35,2017,2,0,5,5,5,5,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
291,Murphy USA,9633.0,-11.5,221.5,25.6,2089.0,2706.0,-33,6600,-33,2017,2,0,3,1,2,2,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
292,Advance Auto Parts,9568.0,-1.7,459.6,-2.9,8315.0,10944.0,1,57500,1,2017,2,0,4,4,4,5,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
293,Fidelity National Financial,9554.0,4.6,650.0,23.3,14463.0,10600.0,18,55219,18,2017,2,0,5,5,4,5,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
294,Air Products & Chemicals,9524.0,-3.7,631.1,-50.6,18055.0,29438.0,-6,18450,-6,2017,2,0,5,5,5,4,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
295,Hormel Foods,9523.0,2.8,890.1,29.7,6370.0,18316.0,9,21100,9,2017,2,0,5,3,5,4,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
296,Hertz Global Holdings,9480.0,-10.0,-491.0,-279.9,19155.0,1456.0,-27,36000,-27,2017,2,0,1,5,1,5,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
299,Republic Services,9388.0,3.0,612.6,-18.3,20630.0,21312.0,13,33000,13,2017,2,0,4,5,5,5,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
300,Alcoa,9318.0,0.0,-400.0,0.0,16741.0,6337.0,0,14000,0,2017,2,0,1,5,3,4,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
301,Fidelity National Information Services,9241.0,40.1,568.0,-10.1,26031.0,26178.0,91,55000,91,2017,2,0,4,5,5,5,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
304,LKQ,9082.0,26.3,464.0,9.6,8303.0,9021.0,65,42500,65,2017,2,0,4,4,4,5,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
305,BorgWarner,9071.0,13.1,118.5,-80.6,8835.0,8895.0,34,27000,34,2017,2,0,2,4,4,5,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
306,Ball,9061.0,13.3,263.0,-6.4,16173.0,13000.0,35,18450,35,2017,2,0,3,5,4,4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
306,CST Brands,9061.0,-4.6,324.0,117.4,4360.0,3645.0,-7,12380,-7,2017,2,0,3,3,3,3,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
306,Public Service Enterprise Group,9061.0,-13.0,887.0,-47.2,40070.0,22451.0,-34,13065,-34,2017,2,0,5,5,5,4,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
309,Eastman Chemical,9008.0,-6.6,854.0,0.7,15457.0,11783.0,-13,14000,-13,2017,2,0,5,5,4,4,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
311,Mohawk Industries,8959.0,11.0,930.4,51.2,10231.0,17025.0,27,37800,27,2017,2,0,5,4,5,5,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
312,Oneok,8921.0,14.9,352.0,43.7,16139.0,11684.0,36,2384,36,2017,2,0,4,5,4,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
313,Frontier Communications,8896.0,59.5,-373.0,0.0,29013.0,2521.0,148,28332,148,2017,2,0,1,5,2,5,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
317,Expedia,8774.0,31.5,281.8,-63.1,15778.0,18901.0,68,20075,68,2017,2,0,3,5,5,4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
318,Lithia Motors,8678.0,10.3,197.1,7.7,3844.0,2156.0,28,11170,28,2017,2,0,3,2,2,3,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
